Company,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Total Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Protein (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Category,FreeStyle Points,SmartPoints,PointsPlus
A&W,Large Strawberry Milkshake,690,162,18.0,11.0,0.5,75.0,450.0,115.0,2.0,104.0,20.0,28.0,55.0,25.0,19.0,38.0,8.0,40.0,15.0,0.0,70.0,2.0,Drinks,35.0,35.0,19.0
A&W,Tea,3,0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
A&W,Small Vanilla Milkshake,410,99,11.0,7.0,0.3,45.0,250.0,68.0,1.0,62.0,12.0,17.0,35.0,15.0,10.0,23.0,4.0,24.0,10.0,0.0,40.0,1.0,Drinks,21.0,21.0,11.0
A&W,Large Vanilla Milkshake,690,162,18.0,11.0,0.5,75.0,420.0,114.0,1.0,104.0,20.0,28.0,55.0,25.0,18.0,38.0,4.0,40.0,15.0,0.0,70.0,2.0,Drinks,35.0,35.0,19.0
A&W,Apple Turnover,280,135,15.0,3.5,0.0,0.0,190.0,38.0,1.0,14.0,3.0,23.0,18.0,0.0,8.0,13.0,4.0,6.0,0.0,35.0,0.0,8.0,Sides,11.0,11.0,8.0
A&W,Cherry Turnover,200,72,8.0,4.0,0.0,0.0,280.0,32.0,1.0,11.0,2.0,12.0,20.0,0.0,12.0,11.0,4.0,4.0,0.0,0.0,0.0,8.0,Sides,8.0,8.0,6.0
A&W,Kids Fries,250,108,12.0,1.0,0.0,35.0,360.0,35.0,3.0,0.0,3.0,18.0,5.0,12.0,15.0,12.0,12.0,6.0,0.0,0.0,2.0,4.0,Sides,8.0,8.0,7.0
A&W,Regular Fries,390,162,18.0,1.5,0.0,54.0,550.0,54.0,5.0,0.0,5.0,28.0,8.0,18.0,23.0,18.0,20.0,10.0,0.0,0.0,2.0,6.0,Sides,12.0,12.0,11.0
A&W,Onion Rings,520,288,32.0,2.5,0.1,50.0,630.0,50.0,4.0,6.0,7.0,49.0,13.0,17.0,26.0,17.0,16.0,14.0,0.0,0.0,6.0,20.0,Sides,16.0,16.0,14.0
A&W,Poutine,660,333,37.0,13.0,1.0,65.0,1770.0,61.0,8.0,1.0,22.0,57.0,65.0,22.0,74.0,20.0,32.0,44.0,15.0,0.0,40.0,10.0,Sides,22.0,22.0,18.0
A&W,Root Beer Lollipop,35,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Sides,2.0,2.0,1.0
Kfc,Extra Crispy Chicken Drumstick,150,81,9.0,1.5,0.0,80.0,320.0,2.0,0.0,0.0,15.0,14.0,8.0,27.0,13.0,1.0,0.0,30.0,0.0,0.0,1.0,4.0,Chicken,4.0,4.0,4.0
Kfc,Extra Crispy Chicken Wing,190,117,13.0,2.0,0.1,60.0,340.0,4.0,0.0,0.0,14.0,20.0,10.0,20.0,14.0,1.0,0.0,28.0,0.0,0.0,1.0,6.0,Chicken,5.0,5.0,5.0
Kfc,Extra Crispy Chicken Thigh,250,162,18.0,3.0,0.1,85.0,340.0,7.0,0.0,0.0,15.0,28.0,15.0,28.0,14.0,2.0,0.0,30.0,0.0,0.0,1.0,7.0,Chicken,7.0,7.0,7.0
Kfc,Extra Crispy Chicken Rib,310,153,17.0,2.5,0.1,100.0,550.0,7.0,0.0,0.0,31.0,26.0,13.0,33.0,23.0,2.0,0.0,62.0,0.0,0.0,2.0,7.0,Chicken,6.0,7.0,8.0
Kfc,Extra Crispy Chicken Keel,350,180,20.0,3.0,0.1,100.0,600.0,10.0,0.0,0.0,33.0,31.0,15.0,33.0,25.0,3.0,0.0,66.0,0.0,0.0,2.0,7.0,Chicken,8.0,8.0,9.0
Kfc,Hot & Spicy Chicken Drumstick,170,90,10.0,1.5,0.0,70.0,230.0,3.0,0.0,0.0,16.0,15.0,8.0,23.0,10.0,1.0,0.0,32.0,0.0,0.0,1.0,4.0,Chicken,4.0,4.0,4.0
Kfc,Hot & Spicy Chicken Wing,210,126,14.0,2.0,0.1,65.0,240.0,6.0,0.0,0.0,14.0,22.0,10.0,22.0,10.0,2.0,0.0,28.0,0.0,0.0,6.0,4.0,Chicken,6.0,6.0,6.0
Kfc,Hot & Spicy Chicken Thigh,310,207,23.0,3.5,0.1,85.0,350.0,13.0,0.0,0.0,14.0,35.0,18.0,28.0,15.0,4.0,0.0,28.0,0.0,0.0,7.0,7.0,Chicken,9.0,9.0,9.0
Kfc,Hot & Spicy Chicken Rib,360,189,21.0,3.0,0.1,90.0,470.0,14.0,0.0,0.0,28.0,32.0,15.0,30.0,20.0,5.0,0.0,56.0,0.0,0.0,14.0,7.0,Chicken,8.0,9.0,9.0
Kfc,Hot & Spicy Chicken Keel,410,207,23.0,3.5,0.1,100.0,560.0,13.0,0.0,0.0,36.0,35.0,18.0,33.0,23.0,4.0,0.0,72.0,0.0,0.0,16.0,10.0,Chicken,10.0,10.0,11.0
Kfc,Original Recipe Chicken Tender,100,45,5.0,0.5,0.0,25.0,350.0,5.0,0.0,1.0,10.0,8.0,3.0,8.0,15.0,2.0,0.0,20.0,0.0,2.0,0.0,2.0,Chicken,2.0,2.0,3.0
Kfc,Original Recipe Chicken Drumstick,140,72,8.0,2.0,0.0,70.0,150.0,2.0,0.0,0.0,15.0,12.0,10.0,23.0,6.0,1.0,0.0,30.0,0.0,0.0,4.0,4.0,Chicken,3.0,3.0,4.0
Kfc,Original Recipe Chicken Wing,160,81,9.0,2.0,0.0,65.0,210.0,4.0,0.0,0.0,14.0,14.0,10.0,22.0,9.0,1.0,0.0,28.0,0.0,0.0,3.0,4.0,Chicken,4.0,4.0,4.0
Kfc,Original Recipe Chicken Thigh,220,135,15.0,3.0,0.0,80.0,300.0,6.0,0.0,0.0,15.0,23.0,15.0,27.0,13.0,2.0,0.0,30.0,0.0,0.0,5.0,4.0,Chicken,6.0,6.0,6.0
Kfc,Original Recipe Chicken Rib,270,135,15.0,3.0,0.0,90.0,420.0,6.0,0.0,0.0,29.0,23.0,15.0,30.0,18.0,2.0,0.0,58.0,0.0,0.0,7.0,6.0,Chicken,5.0,6.0,7.0
Kfc,Original Recipe Chicken Keel,290,117,13.0,2.0,0.0,105.0,420.0,8.0,0.0,0.0,35.0,20.0,10.0,35.0,18.0,3.0,0.0,70.0,0.0,0.0,10.0,6.0,Chicken,6.0,6.0,7.0
Kfc,Chocolate Chip Cookie,140,63,7.0,3.5,0.1,6.0,106.0,19.0,1.0,11.0,2.0,11.0,18.0,2.0,4.0,6.0,4.0,4.0,0.0,0.0,8.0,1.0,Desserts,6.0,6.0,4.0
Kfc,Ice Cream Cone,190,54,6.0,4.0,0.0,25.0,125.0,29.0,0.0,24.0,5.0,9.0,20.0,8.0,5.0,10.0,0.0,10.0,0.0,2.0,15.0,2.0,Desserts,9.0,9.0,5.0
Kfc,Strawberry Swirl Cheesecake,320,153,17.0,10.0,0.5,55.0,250.0,36.0,1.0,23.0,7.0,26.0,50.0,18.0,10.0,12.0,4.0,14.0,10.0,2.0,10.0,2.0,Desserts,15.0,15.0,9.0
Kfc,7UP,240,0,0.0,0.0,0.0,0.0,70.0,64.0,0.0,63.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,15.0,15.0,7.0
Kfc,Apple Juice,120,0,0.0,0.0,0.0,0.0,10.0,28.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,Drinks,7.0,7.0,3.0
Kfc,Aquafina Water,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
Kfc,Chocolate Milk,160,22.5,2.5,1.5,0.0,15.0,180.0,27.0,0.0,25.0,7.0,4.0,8.0,5.0,8.0,9.0,0.0,14.0,15.0,0.0,25.0,6.0,Drinks,8.0,8.0,4.0
Kfc,Diet Pepsi,0,0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
Kfc,Dr Pepper,240,0,0.0,0.0,0.0,0.0,95.0,64.0,0.0,63.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,15.0,15.0,7.0
Kfc,Lipton Brisk Iced Tea,180,0,0.0,0.0,0.0,0.0,160.0,47.0,0.0,47.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,11.0,11.0,5.0
Kfc,Mountain Dew,290,0,0.0,0.0,0.0,0.0,105.0,77.0,0.0,77.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,0.0,77.0,0.0,0.0,0.0,Drinks,18.0,18.0,8.0
Kfc,Mug Root Beer,260,0,0.0,0.0,0.0,0.0,105.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,16.0,16.0,8.0
Kfc,Orange Crush,267,0,0.0,0.0,0.0,0.0,117.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,17.0,17.0,8.0
Kfc,Orange Juice,115,0,0.0,0.0,0.0,0.0,26.0,28.0,0.0,23.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,100.0,2.0,2.0,Drinks,6.0,6.0,3.0
Kfc,Pepsi,251,0,0.0,0.0,0.0,0.0,55.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,16.0,16.0,7.0
Kfc,Original Big Crunch Sandwich,610,297,33.0,4.0,0.3,45.0,1054.0,57.0,4.0,4.0,25.0,51.0,20.0,15.0,44.0,19.0,16.0,50.0,1.0,2.0,6.0,27.0,Sandwiches & Wraps,16.0,18.0,17.0
Kfc,Spicy Big Crunch Sandwich,620,306,34.0,4.1,0.3,57.0,1062.0,57.0,4.0,4.0,25.0,52.0,21.0,19.0,44.0,19.0,16.0,50.0,2.0,2.0,6.0,27.0,Sandwiches & Wraps,18.0,18.0,17.0
Kfc,Double Down,610,360,40.0,9.0,0.5,150.0,1530.0,17.0,2.0,4.0,46.0,62.0,45.0,50.0,64.0,6.0,8.0,92.0,4.0,0.0,20.0,20.0,Sandwiches & Wraps,15.0,17.0,16.0
Kfc,Original Double Tender Sandwich,470,189,21.0,2.8,0.1,57.0,1051.0,48.0,2.0,7.0,27.0,32.0,14.0,19.0,44.0,16.0,8.0,54.0,1.0,4.0,4.0,20.0,Sandwiches & Wraps,12.0,13.0,13.0
Kfc,Spicy Double Tender Sandwich,520,243,27.0,3.8,0.2,63.0,1097.0,47.0,2.0,6.0,27.0,42.0,19.0,21.0,46.0,16.0,8.0,54.0,2.0,5.0,4.0,27.0,Sandwiches & Wraps,13.0,15.0,14.0
Kfc,Original Famous Chicken Sandwich,522,234,26.0,3.6,0.3,58.0,996.0,47.0,3.0,8.0,26.0,40.0,18.0,19.0,42.0,16.0,12.0,52.0,0.0,0.0,6.0,23.0,Sandwiches & Wraps,14.0,15.0,14.0
Kfc,Spicy Famous Chicken Sandwich,528,243,27.0,3.8,0.3,71.0,1004.0,47.0,3.0,8.0,26.0,42.0,19.0,24.0,42.0,16.0,12.0,52.0,2.0,0.0,6.0,24.0,Sandwiches & Wraps,14.0,15.0,14.0
Kfc,Original Kentucky Flatbread,290,108,12.0,2.0,0.0,25.0,660.0,30.0,1.0,3.0,15.0,18.0,10.0,8.0,28.0,10.0,4.0,30.0,0.0,0.0,4.0,10.0,Sandwiches & Wraps,7.0,8.0,8.0
Kfc,Spicy Kentucky Flatbread,300,117,13.0,2.0,0.0,30.0,660.0,30.0,1.0,3.0,15.0,20.0,10.0,10.0,28.0,10.0,4.0,30.0,0.0,0.0,4.0,10.0,Sandwiches & Wraps,7.0,9.0,8.0
Kfc,Original Plant Based Sandwich,700,351,39.0,4.3,0.5,1.0,1027.0,61.0,7.0,5.0,26.0,60.0,22.0,0.0,43.0,20.0,28.0,52.0,1.0,0.0,9.0,15.0,Sandwiches & Wraps,20.0,20.0,18.0
Kfc,Spicy Plant Based Sandwich,710,360,40.0,4.4,0.4,14.0,1035.0,61.0,7.0,5.0,26.0,62.0,22.0,5.0,43.0,20.0,28.0,52.0,2.0,1.0,9.0,15.0,Sandwiches & Wraps,21.0,21.0,19.0
Kfc,Spicy Twister Wrap,580,270,30.0,5.0,0.3,55.0,1145.0,52.0,5.0,4.0,25.0,46.0,25.0,18.0,48.0,17.0,20.0,50.0,4.0,15.0,6.0,30.0,Sandwiches & Wraps,16.0,17.0,15.0
Kfc,Twister Wrap,530,216,24.0,4.0,0.2,45.0,1100.0,53.0,5.0,4.0,25.0,37.0,20.0,15.0,46.0,18.0,20.0,50.0,4.0,15.0,6.0,30.0,Sandwiches & Wraps,14.0,15.0,14.0
Kfc,Zinger Sandwich,550,252,28.0,3.6,0.3,51.0,1081.0,53.0,4.0,4.0,24.0,43.0,18.0,17.0,45.0,18.0,16.0,48.0,2.0,2.0,5.0,25.0,Sandwiches & Wraps,14.0,16.0,15.0
Kfc,Zinger Twister,670,333,37.0,6.0,0.0,60.0,1320.0,59.0,4.0,2.0,25.0,57.0,30.0,20.0,55.0,20.0,16.0,50.0,2.0,20.0,8.0,20.0,Sandwiches & Wraps,18.0,20.0,18.0
Kfc,Carolina Honey Mustard Dipping Sauce,80,54,6.0,0.1,0.0,0.0,180.0,7.0,0.0,6.0,0.0,9.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Sides,3.0,3.0,2.0
Kfc,Individual Coleslaw Salad,120,72,8.0,1.0,0.0,0.0,150.0,12.0,0.0,9.0,1.0,12.0,5.0,0.0,6.0,4.0,0.0,2.0,8.0,77.0,4.0,4.0,Sides,5.0,5.0,3.0
Kfc,Medium Coleslaw Salad,270,135,15.0,2.0,0.2,0.0,320.0,34.0,4.0,15.0,4.0,23.0,10.0,0.0,13.0,11.0,16.0,8.0,0.0,20.0,8.0,6.0,Sides,10.0,10.0,8.0
Kfc,Large Coleslaw Salad,520,252,28.0,4.0,0.4,0.0,600.0,64.0,8.0,28.0,8.0,43.0,20.0,0.0,25.0,21.0,32.0,16.0,0.0,35.0,15.0,10.0,Sides,19.0,19.0,14.0
Kfc,Individual French Fries,300,126,14.0,1.0,0.0,0.0,350.0,41.0,4.0,0.0,4.0,22.0,5.0,0.0,15.0,14.0,16.0,8.0,0.0,10.0,2.0,4.0,Sides,9.0,9.0,8.0
Kfc,Medium French Fries,820,360,40.0,3.0,0.0,5.0,970.0,112.0,10.0,1.0,10.0,62.0,15.0,2.0,40.0,37.0,40.0,20.0,0.0,30.0,4.0,15.0,Sides,25.0,25.0,23.0
Kfc,Large French Fries,1350,585,65.0,5.0,0.0,5.0,1600.0,184.0,17.0,1.0,16.0,100.0,25.0,2.0,67.0,61.0,68.0,32.0,0.0,50.0,8.0,20.0,Sides,41.0,41.0,37.0
Kfc,Extra Large French Fries,2330,1008,112.0,8.0,1.0,10.0,2750.0,317.0,29.0,2.0,28.0,172.0,40.0,3.0,115.0,106.0,116.0,56.0,0.0,90.0,10.0,35.0,Sides,70.0,70.0,63.0
Kfc,Individual Gravy,45,9,1.0,0.0,0.0,0.0,460.0,7.0,0.0,2.0,1.0,2.0,0.0,0.0,19.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,Sides,2.0,2.0,1.0
Kfc,Medium Gravy,110,27,3.0,0.5,0.0,5.0,1150.0,18.0,0.0,4.0,3.0,5.0,3.0,2.0,48.0,6.0,0.0,6.0,0.0,0.0,2.0,4.0,Sides,4.0,4.0,3.0
Kfc,Large Gravy,210,54,6.0,1.5,0.0,5.0,2230.0,35.0,1.0,8.0,5.0,9.0,8.0,2.0,93.0,12.0,4.0,10.0,0.0,0.0,4.0,6.0,Sides,7.0,7.0,6.0
Kfc,5 Piece Hot Wings,380,216,24.0,5.0,0.0,95.0,970.0,15.0,2.0,0.0,27.0,37.0,25.0,32.0,40.0,5.0,8.0,54.0,8.0,0.0,2.0,15.0,Sides,10.0,10.0,10.0
Kfc,10 Piece Hot Wings,760,432,48.0,10.0,0.0,190.0,1950.0,31.0,5.0,0.0,55.0,74.0,50.0,63.0,81.0,10.0,20.0,110.0,15.0,0.0,4.0,35.0,Sides,20.0,20.0,20.0
Kfc,20 Piece Hot Wings,1520,855,95.0,19.0,9.0,380.0,3900.0,62.0,10.0,0.0,109.0,146.0,95.0,127.0,163.0,21.0,40.0,218.0,30.0,0.0,10.0,70.0,Sides,41.0,41.0,40.0
Kfc,Kentucky Hot Sauce,5,0,0.0,0.0,0.0,0.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Sides,0.0,0.0,0.0
Kfc,Individual Macaroni Salad,140,54,6.0,1.0,0.0,15.0,470.0,5.0,1.0,3.0,3.0,9.0,5.0,5.0,20.0,2.0,4.0,6.0,2.0,4.0,0.0,4.0,Sides,5.0,5.0,2.0
Kfc,Medium Macaroni Salad,330,135,15.0,2.0,0.0,35.0,1140.0,37.0,2.0,7.0,7.0,23.0,10.0,12.0,48.0,12.0,8.0,14.0,0.0,8.0,0.0,10.0,Sides,11.0,11.0,8.0
Kfc,Large Macaroni Salad,660,279,31.0,4.5,0.0,65.0,2280.0,75.0,4.0,13.0,13.0,48.0,23.0,22.0,95.0,25.0,16.0,26.0,0.0,20.0,0.0,25.0,Sides,22.0,22.0,17.0
Kfc,Individual Mashed Potatoes,45,0,0.0,0.0,0.0,0.0,160.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,4.0,2.0,0.0,6.0,2.0,0.0,Sides,1.0,1.0,1.0
Kfc,Medium Mashed Potatoes,140,0,0.0,0.0,0.0,0.0,480.0,30.0,3.0,1.0,3.0,0.0,0.0,0.0,20.0,10.0,12.0,6.0,0.0,20.0,4.0,2.0,Sides,4.0,4.0,3.0
Kfc,Large Mashed Potatoes,270,0,0.0,0.0,0.0,0.0,970.0,60.0,5.0,3.0,5.0,0.0,0.0,0.0,40.0,20.0,20.0,10.0,0.0,40.0,6.0,8.0,Sides,8.0,8.0,7.0
Kfc,Individual Original Recipe Corn,150,90,10.0,1.0,0.0,0.0,250.0,13.0,0.0,6.0,3.0,15.0,5.0,0.0,10.0,4.0,0.0,6.0,0.0,4.0,0.0,2.0,Sides,5.0,5.0,4.0
Kfc,Medium Original Recipe Corn,450,324,36.0,4.0,0.0,0.0,890.0,27.0,5.0,12.0,6.0,55.0,20.0,0.0,37.0,9.0,20.0,12.0,0.0,8.0,0.0,6.0,Sides,16.0,16.0,12.0
Kfc,Large Original Recipe Corn,720,459,51.0,5.0,0.0,0.0,1220.0,55.0,11.0,26.0,11.0,78.0,25.0,0.0,51.0,18.0,44.0,22.0,0.0,15.0,0.0,10.0,Sides,25.0,25.0,19.0
Kfc,Plant Based Popcorn Chicken,470,252,28.0,2.0,0.0,0.0,800.0,31.0,7.0,1.0,24.0,43.0,10.0,0.0,33.0,10.0,28.0,48.0,0.0,0.0,6.0,35.0,Sides,13.0,13.0,12.0
Kfc,Individual Popcorn Chicken,170,90,10.0,1.0,0.0,20.0,400.0,12.0,1.0,0.0,9.0,15.0,5.0,7.0,17.0,4.0,4.0,18.0,0.0,0.0,0.0,4.0,Sides,5.0,5.0,5.0
Kfc,Small Popcorn Chicken,370,189,21.0,2.0,0.0,40.0,850.0,26.0,2.0,0.0,19.0,32.0,10.0,13.0,35.0,9.0,8.0,38.0,0.0,0.0,2.0,10.0,Sides,8.0,10.0,10.0
Kfc,Medium Popcorn Chicken,740,378,42.0,3.5,0.0,80.0,1690.0,52.0,4.0,0.0,39.0,65.0,18.0,27.0,70.0,17.0,16.0,78.0,0.0,0.0,4.0,20.0,Sides,16.0,20.0,20.0
Kfc,Large Popcorn Chicken,1000,513,57.0,5.0,0.0,105.0,2290.0,71.0,5.0,0.0,52.0,88.0,25.0,35.0,95.0,24.0,20.0,104.0,0.0,0.0,6.0,30.0,Sides,21.0,27.0,27.0
Kfc,Original Popcorn Chicken Poutine,900,459,51.0,13.0,1.0,85.0,1820.0,82.0,7.0,2.0,32.0,78.0,65.0,28.0,76.0,27.0,28.0,64.0,0.0,15.0,45.0,15.0,Sides,26.0,28.0,24.0
Kfc,Spicy Popcorn Chicken Poutine,1060,603,67.0,16.0,1.5,100.0,2090.0,87.0,0.0,3.0,32.0,103.0,80.0,33.0,87.0,29.0,0.0,64.0,0.0,0.0,35.0,15.0,Sides,34.0,34.0,30.0
Kfc,Individual Potato Salad,140,63,7.0,1.0,0.0,10.0,360.0,19.0,2.0,5.0,2.0,11.0,5.0,3.0,15.0,6.0,8.0,4.0,8.0,10.0,0.0,2.0,Sides,5.0,5.0,4.0
Kfc,Medium Potato Salad,350,144,16.0,2.5,0.0,25.0,870.0,47.0,5.0,12.0,5.0,25.0,13.0,8.0,36.0,16.0,20.0,10.0,0.0,25.0,0.0,6.0,Sides,12.0,12.0,9.0
Kfc,Large Potato Salad,710,297,33.0,4.5,0.0,45.0,1750.0,95.0,9.0,24.0,9.0,51.0,23.0,15.0,73.0,32.0,36.0,18.0,0.0,45.0,0.0,10.0,Sides,25.0,25.0,19.0
Kfc,Poutine,720,360,40.0,12.0,1.0,60.0,1480.0,72.0,6.0,2.0,21.0,62.0,60.0,20.0,62.0,24.0,24.0,42.0,0.0,20.0,45.0,8.0,Sides,23.0,23.0,20.0
Kfc,Ranch Dipping Sauce,150,144,16.0,2.5,0.0,5.0,240.0,2.0,0.0,1.0,0.0,25.0,13.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sides,5.0,5.0,4.0
Kfc,Southern Plum Dipping Sauce,40,0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Sides,2.0,2.0,1.0
Kfc,Sweet & Smoky BBQ Dipping Sauce,45,0,0.0,0.0,0.0,0.0,210.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,Sides,2.0,2.0,1.0
Mcdonalds,Plain Bacon 'N Egg Bagel,560,234,26.0,11.0,0.5,230.0,920.0,59.0,3.0,9.0,23.0,40.0,55.0,77.0,38.0,20.0,12.0,46.0,20.0,8.0,10.0,25.0,Breakfast,17.0,19.0,15.0
Mcdonalds,Multigrain Bacon 'N Egg Bagel,600,261,29.0,12.0,0.5,230.0,930.0,61.0,9.0,9.0,26.0,45.0,60.0,77.0,39.0,20.0,36.0,52.0,20.0,8.0,10.0,25.0,Breakfast,18.0,20.0,16.0
Mcdonalds,Bacon 'N Egg McMuffin,310,126,14.0,6.0,0.2,200.0,680.0,29.0,2.0,2.0,16.0,22.0,30.0,67.0,28.0,10.0,8.0,32.0,15.0,4.0,20.0,15.0,Breakfast,8.0,10.0,8.0
Mcdonalds,"Bacon, Egg & Cheese McGriddles",400,153,17.0,7.0,0.2,195.0,1180.0,44.0,2.0,15.0,16.0,26.0,35.0,65.0,49.0,15.0,8.0,32.0,10.0,4.0,15.0,15.0,Breakfast,12.0,14.0,10.0
Mcdonalds,Plain Bagel with Butter,300,54,6.0,3.0,0.1,15.0,360.0,54.0,3.0,8.0,10.0,9.0,15.0,5.0,15.0,18.0,12.0,20.0,6.0,0.0,2.0,20.0,Breakfast,10.0,10.0,8.0
Mcdonalds,Cinnamon & Raisin Bagel with Butter,310,63,7.0,4.0,0.1,15.0,410.0,56.0,4.0,9.0,9.0,11.0,20.0,5.0,17.0,19.0,16.0,18.0,6.0,0.0,2.0,40.0,Breakfast,11.0,11.0,8.0
Mcdonalds,Everything Bagel with Butter,310,72,8.0,3.5,0.1,15.0,330.0,52.0,3.0,6.0,10.0,12.0,18.0,5.0,14.0,17.0,12.0,20.0,6.0,0.0,2.0,25.0,Breakfast,10.0,10.0,8.0
Mcdonalds,Multigrain Bagel with Butter,320,81,9.0,3.5,0.2,15.0,360.0,54.0,8.0,8.0,11.0,14.0,18.0,5.0,15.0,18.0,32.0,22.0,6.0,0.0,2.0,20.0,Breakfast,11.0,11.0,9.0
Mcdonalds,Sesame Bagel with Butter,320,63,7.0,3.5,0.1,15.0,370.0,54.0,3.0,7.0,10.0,11.0,18.0,5.0,15.0,18.0,12.0,20.0,6.0,0.0,2.0,25.0,Breakfast,11.0,11.0,8.0
Mcdonalds,Plain Bagel with Cream Cheese,370,90,10.0,6.0,0.4,30.0,490.0,58.0,3.0,11.0,12.0,15.0,30.0,10.0,20.0,19.0,12.0,24.0,10.0,0.0,6.0,20.0,Breakfast,13.0,13.0,10.0
