Company,Category,Item,FreeStyle Points,SmartPoints,PointsPlus
subway,Subway Sandwiches,Footlong Pizza Sub Melt,6.0,6.0,23.0
subway,Subway Sandwiches,"6"" Pizza Sub Melt",15.0,15.0,12.0
subway,Subway Sandwiches,Kids Mini Sub Roast Beef,6.0,6.0,5.0
subway,Subway Sandwiches,"6"" Roast Beef",8.0,8.0,7.0
subway,Subway Sandwiches,Footlong Roast Beef,17.0,17.0,15.0
subway,Subway Sandwiches,"6"" Steak & Cheese",11.0,11.0,10.0
subway,Subway Sandwiches,Footlong Steak & Cheese,22.0,22.0,20.0
subway,Subway Sandwiches,"6"" Subway Club",8.0,8.0,8.0
subway,Subway Sandwiches,Footlong Subway Club,17.0,17.0,15.0
subway,Subway Sandwiches,"6"" Sweet Onion Chicken Teriyaki",10.0,11.0,9.0
subway,Subway Sandwiches,Footlong Sweet Onion Chicken Teriyaki,19.0,22.0,18.0
subway,Subway Sandwiches,"6"" Tuna",15.0,15.0,13.0
subway,Subway Sandwiches,Footlong Tuna,30.0,30.0,25.0
subway,Subway Sandwiches,Kids Mini Sub Turkey Breast,5.0,5.0,5.0
subway,Subway Sandwiches,"6"" Turkey Breast",8.0,8.0,7.0
subway,Subway Sandwiches,Footlong Turkey Breast,17.0,17.0,14.0
subway,Subway Sandwiches,"6"" Turkey Breast & Ham",8.0,8.0,7.0
subway,Subway Sandwiches,Footlong Turkey Breast & Ham,17.0,17.0,15.0
subway,Subway Sandwiches,Kids Mini Sub Veggie Delite,3.0,5.0,4.0
subway,Subway Sandwiches,"6"" Veggie Delite",5.0,7.0,6.0
subway,Subway Sandwiches,Footlong Veggie Delite,12.0,14.0,12.0
tim-hortons,Bagels,12 Grain Bagel,10.0,10.0,9.0
tim-hortons,Bagels,Cheese and Chive Bagel,10.0,10.0,8.0
tim-hortons,Bagels,Cinnamon Raisin Bagel,10.0,10.0,8.0
tim-hortons,Bagels,Everything Bagel,9.0,9.0,8.0
tim-hortons,Bagels,Four Cheese Bagel,9.0,9.0,8.0
tim-hortons,Bagels,Jalapeno Asiago Mozzarella Bagel,9.0,9.0,8.0
tim-hortons,Bagels,Maple Cinnamon French Toast Bagel,12.0,12.0,9.0
tim-hortons,Bagels,Plain Bagel,9.0,9.0,7.0
tim-hortons,Bagels,Roasted Garlic & Cheese Bagel,9.0,9.0,8.0
tim-hortons,Bagels,Sesame Seed Bagel,9.0,9.0,8.0
tim-hortons,Bagels,Sundried Tomato Asiago Parm Bagel,10.0,10.0,9.0
tim-hortons,Baked Goods & Desserts,Banana Chocolate Loaf,16.0,16.0,10.0
tim-hortons,Baked Goods & Desserts,Carrot Cake Muffin with Walnuts,14.0,14.0,9.0
tim-hortons,Baked Goods & Desserts,Chocolate Chip Muffin,18.0,18.0,12.0
tim-hortons,Baked Goods & Desserts,Chocolate Chunk Cookie,11.0,11.0,6.0
tim-hortons,Baked Goods & Desserts,Glazed Cinnamon Roll,12.0,12.0,9.0
tim-hortons,Baked Goods & Desserts,Frosted Cinnamon Roll,15.0,15.0,10.0
tim-hortons,Baked Goods & Desserts,Plain Croissant,10.0,10.0,7.0
tim-hortons,Baked Goods & Desserts,Cheese Croissant,11.0,11.0,8.0
tim-hortons,Baked Goods & Desserts,Cherry Cheese Danish,12.0,12.0,8.0
tim-hortons,Baked Goods & Desserts,Maple Pecan Danish,14.0,14.0,10.0
tim-hortons,Baked Goods & Desserts,Double Chocolate Cookie,12.0,12.0,7.0
tim-hortons,Baked Goods & Desserts,Fruit Explosion Muffin,13.0,13.0,9.0
tim-hortons,Baked Goods & Desserts,Lemon Poppyseed Loaf,14.0,14.0,9.0
tim-hortons,Baked Goods & Desserts,Blueberry Mini Strudel,2.0,2.0,2.0
tim-hortons,Baked Goods & Desserts,Apple Mini Strudel,2.0,2.0,2.0
tim-hortons,Baked Goods & Desserts,Oatmeal Raisin Spice Cookie,10.0,10.0,6.0
tim-hortons,Baked Goods & Desserts,Peanut Butter Cookie,12.0,12.0,8.0
tim-hortons,Baked Goods & Desserts,Raisin Bran Muffin,16.0,16.0,10.0
tim-hortons,Baked Goods & Desserts,Raisin Tea Biscuit,9.0,9.0,7.0
tim-hortons,Baked Goods & Desserts,Cheese Tea Biscuit,9.0,9.0,7.0
tim-hortons,Baked Goods & Desserts,Whole Grain Pecan Banana Bread Muffin,14.0,14.0,9.0
tim-hortons,Baked Goods & Desserts,Wild Blueberry Muffin,13.0,13.0,9.0
tim-hortons,Breakfast,Bagel B.E.L.T.,17.0,17.0,14.0
tim-hortons,Breakfast,Egg & Cheese Bagel Sandwich,10.0,12.0,10.0
tim-hortons,Breakfast,"Bacon, Egg & Cheese Bagel Sandwich",12.0,14.0,12.0
tim-hortons,Breakfast,"Sausage, Egg & Cheese Bagel Sandwich",16.0,18.0,15.0
tim-hortons,Breakfast,Egg & Cheese Biscuit Sandwich,10.0,12.0,9.0
tim-hortons,Breakfast,Simply Sausage Biscuit Sandwich,14.0,14.0,10.0
tim-hortons,Breakfast,"Bacon, Egg & Cheese Biscuit Sandwich",12.0,14.0,11.0
tim-hortons,Breakfast,"Sausage, Egg & Cheese Biscuit Sandwich",16.0,18.0,14.0
tim-hortons,Breakfast,Egg & Cheese Croissant Sandwich,13.0,15.0,11.0
tim-hortons,Breakfast,"Bacon, Egg & Cheese Croissant Sandwich",15.0,17.0,13.0
tim-hortons,Breakfast,"Sausage, Egg & Cheese Croissant Sandwich",19.0,21.0,16.0
tim-hortons,Breakfast,Egg & Cheese English Muffin Sandwich,7.0,9.0,7.0
tim-hortons,Breakfast,"Bacon, Egg & Cheese English Muffin Sandwich",9.0,11.0,8.0
tim-hortons,Breakfast,"Sausage, Egg & Cheese English Muffin Sandwich",13.0,15.0,11.0
tim-hortons,Breakfast,Farmer's Breakfast Sandwich,23.0,23.0,18.0
tim-hortons,Breakfast,Strawberry Greek Yogurt with Berries & Granola,10.0,10.0,7.0
tim-hortons,Breakfast,Vanilla Greek Yogurt with Berries & Granola,10.0,10.0,7.0
tim-hortons,Breakfast,Bacon Grilled Breakfast Wrap,14.0,14.0,11.0
tim-hortons,Breakfast,Sausage Grilled Breakfast Wrap,18.0,18.0,14.0
tim-hortons,Breakfast,Grilled Farmer's Breakfast Wrap,22.0,22.0,18.0
tim-hortons,Breakfast,Harvest Breakfast Sandwich,12.0,13.0,11.0
tim-hortons,Breakfast,Harvest Farmer's Breakfast Wrap,17.0,18.0,15.0
tim-hortons,Breakfast,Hash Brown,4.0,4.0,4.0
tim-hortons,Breakfast,Plain Oatmeal,5.0,5.0,4.0
tim-hortons,Breakfast,Mixed Berry Oatmeal,8.0,8.0,6.0
tim-hortons,Breakfast,Maple Oatmeal,9.0,9.0,6.0
tim-hortons,"Coffee, Espresso & Tea",Americano,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Small Biebs Brew,6.0,6.0,3.0
tim-hortons,"Coffee, Espresso & Tea",Medium Biebs Brew,8.0,8.0,4.0
tim-hortons,"Coffee, Espresso & Tea",Large Biebs Brew,12.0,12.0,6.0
tim-hortons,"Coffee, Espresso & Tea",Small Cafe Mocha,10.0,10.0,5.0
tim-hortons,"Coffee, Espresso & Tea",Medium Cafe Mocha,15.0,15.0,7.0
tim-hortons,"Coffee, Espresso & Tea",Large Cafe Mocha,16.0,16.0,8.0
tim-hortons,"Coffee, Espresso & Tea",Extra Large Cafe Mocha,18.0,18.0,9.0
tim-hortons,"Coffee, Espresso & Tea",Cappuccino,5.0,5.0,3.0
tim-hortons,"Coffee, Espresso & Tea",Caramel Iced Latte,11.0,11.0,6.0
tim-hortons,"Coffee, Espresso & Tea",Caramel Latte,13.0,13.0,7.0
tim-hortons,"Coffee, Espresso & Tea",Small Dark Roast Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Medium Dark Roast Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Large Dark Roast Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Extra Large Dark Roast Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Small Decaffeinated Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Medium Decaffeinated Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Large Decaffeinated Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Extra Large Decaffeinated Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Espresso,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Small French Vanilla Cappuccino,13.0,13.0,7.0
tim-hortons,"Coffee, Espresso & Tea",Medium French Vanilla Cappuccino,16.0,16.0,9.0
tim-hortons,"Coffee, Espresso & Tea",Large French Vanilla Cappuccino,22.0,22.0,12.0
tim-hortons,"Coffee, Espresso & Tea",Extra Large French Vanilla Cappuccino,28.0,28.0,15.0
tim-hortons,"Coffee, Espresso & Tea",Small Hot Chocolate,13.0,13.0,6.0
tim-hortons,"Coffee, Espresso & Tea",Medium Hot Chocolate,16.0,16.0,8.0
tim-hortons,"Coffee, Espresso & Tea",Large Hot Chocolate,23.0,23.0,11.0
tim-hortons,"Coffee, Espresso & Tea",Extra Large Hot Chocolate,29.0,29.0,14.0
tim-hortons,"Coffee, Espresso & Tea",Small Iced Capp,13.0,13.0,7.0
tim-hortons,"Coffee, Espresso & Tea",Medium Iced Capp,19.0,19.0,9.0
tim-hortons,"Coffee, Espresso & Tea",Large Iced Capp,25.0,25.0,12.0
tim-hortons,"Coffee, Espresso & Tea",Small Iced Coffee,6.0,6.0,3.0
tim-hortons,"Coffee, Espresso & Tea",Medium Iced Coffee,7.0,7.0,4.0
tim-hortons,"Coffee, Espresso & Tea",Large Iced Coffee,12.0,12.0,7.0
tim-hortons,"Coffee, Espresso & Tea",Iced Latte,4.0,4.0,3.0
tim-hortons,"Coffee, Espresso & Tea",Latte,6.0,6.0,4.0
tim-hortons,"Coffee, Espresso & Tea",Small Mocha Iced Capp,15.0,15.0,8.0
tim-hortons,"Coffee, Espresso & Tea",Medium Mocha Iced Capp,22.0,22.0,11.0
tim-hortons,"Coffee, Espresso & Tea",Large Mocha Iced Capp,28.0,28.0,14.0
tim-hortons,"Coffee, Espresso & Tea",Small Mocha Iced Coffee,7.0,7.0,4.0
tim-hortons,"Coffee, Espresso & Tea",Medium Mocha Iced Coffee,10.0,10.0,6.0
tim-hortons,"Coffee, Espresso & Tea",Mocha Iced Coffee,15.0,15.0,9.0
tim-hortons,"Coffee, Espresso & Tea",Mocha Iced Latte,10.0,10.0,5.0
tim-hortons,"Coffee, Espresso & Tea",Mocha Latte,11.0,11.0,6.0
tim-hortons,"Coffee, Espresso & Tea",Small Original Blend Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Medium Original Blend Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Large Original Blend Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Extra Large Original Blend Coffee,0.0,0.0,0.0
tim-hortons,"Coffee, Espresso & Tea",Small Pumpkin Spice Iced Capp,20.0,20.0,11.0
tim-hortons,"Coffee, Espresso & Tea",Medium Pumpkin Spice Iced Capp,26.0,26.0,13.0
tim-hortons,"Coffee, Espresso & Tea",Large Pumpkin Spice Iced Capp,31.0,31.0,16.0
tim-hortons,"Coffee, Espresso & Tea",Small Pumpkin Spice Latte,12.0,12.0,6.0
tim-hortons,"Coffee, Espresso & Tea",Medium Pumpkin Spice Latte,16.0,16.0,8.0
tim-hortons,"Coffee, Espresso & Tea",Large Pumpkin Spice Latte,19.0,19.0,10.0
tim-hortons,"Coffee, Espresso & Tea",Tea Latte,6.0,6.0,4.0
tim-hortons,"Coffee, Espresso & Tea",Vanilla Iced Latte,8.0,8.0,4.0
tim-hortons,"Coffee, Espresso & Tea",Vanilla Latte,9.0,9.0,5.0
tim-hortons,Donuts,Apple Fritter Donut,12.0,12.0,8.0
tim-hortons,Donuts,Boston Cream Filled Donut,9.0,9.0,6.0
tim-hortons,Donuts,Canadian Maple Filled Donut,9.0,9.0,6.0
tim-hortons,Donuts,Chocolate Cruller,15.0,15.0,9.0
tim-hortons,Donuts,Chocolate Dip Donut,8.0,8.0,6.0
tim-hortons,Donuts,Chocolate Eclair,12.0,12.0,8.0
tim-hortons,Donuts,Chocolate Glazed Donut,12.0,12.0,8.0
tim-hortons,Donuts,Chocolate Marble Donut,12.0,12.0,8.0
tim-hortons,Donuts,Coconut Cream Donut,9.0,9.0,6.0
tim-hortons,Donuts,Double Chocolate Donut,11.0,11.0,7.0
tim-hortons,Donuts,Easter Nest Dream Donut,16.0,16.0,9.0
tim-hortons,Donuts,Honey Cruller,12.0,12.0,8.0
tim-hortons,Donuts,Honey Dip Donut,9.0,9.0,6.0
tim-hortons,Donuts,Long John,12.0,12.0,7.0
tim-hortons,Donuts,Maple Cruller,15.0,15.0,9.0
tim-hortons,Donuts,Maple Dip Donut,8.0,8.0,6.0
tim-hortons,Donuts,Maple Eclair,12.0,12.0,8.0
tim-hortons,Donuts,Maple Swirl Donut,9.0,9.0,6.0
tim-hortons,Donuts,Old Fashion Dip Donut,10.0,10.0,6.0
tim-hortons,Donuts,Old Fashion Glazed Donut,11.0,11.0,7.0
tim-hortons,Donuts,Old Fashion Plain Donut,8.0,8.0,5.0
tim-hortons,Donuts,Raspberry Filled Donut,8.0,8.0,5.0
tim-hortons,Donuts,Sour Cream Glazed Donut,14.0,14.0,9.0
tim-hortons,Donuts,Sour Cream Plain Donut,11.0,11.0,7.0
tim-hortons,Donuts,Strawberry Filled Donut,8.0,8.0,5.0
tim-hortons,Donuts,Strawberry Shortcake Donut,11.0,11.0,7.0
tim-hortons,Donuts,Strawberry Vanilla Filled Donut,9.0,9.0,6.0
tim-hortons,Donuts,Sugar Loop Donut,7.0,7.0,5.0
tim-hortons,Donuts,Toasted Coconut Timbits,4.0,4.0,3.0
tim-hortons,Drinks,Apple Juice,7.0,7.0,3.0
tim-hortons,Drinks,Small Creamy Chocolate Chill,20.0,20.0,10.0
tim-hortons,Drinks,Medium Creamy Chocolate Chill,28.0,28.0,14.0
tim-hortons,Drinks,Large Creamy Chocolate Chill,36.0,36.0,18.0
tim-hortons,Drinks,Small Frozen Lemonade,6.0,6.0,3.0
tim-hortons,Drinks,Medium Frozen Lemonade,9.0,9.0,5.0
tim-hortons,Drinks,Large Frozen Lemonade,12.0,12.0,6.0
tim-hortons,Drinks,Small Mixed Berry Real Fruit Chill,8.0,8.0,4.0
tim-hortons,Drinks,Medium Mixed Berry Real Fruit Chill,12.0,12.0,5.0
tim-hortons,Drinks,Large Mixed Berry Real Fruit Chill,15.0,15.0,7.0
tim-hortons,Drinks,Small Mixed Berry Smoothie with Greek Yogurt,8.0,8.0,4.0
tim-hortons,Drinks,Medium Mixed Berry Smoothie with Greek Yogurt,12.0,12.0,6.0
tim-hortons,Drinks,Large Mixed Berry Smoothie with Greek Yogurt,15.0,15.0,8.0
tim-hortons,Drinks,Orange Juice,8.0,8.0,4.0
tim-hortons,Drinks,Small Raspberry Frozen Lemonade,7.0,7.0,3.0
tim-hortons,Drinks,Medium Raspberry Frozen Lemonade,10.0,10.0,4.0
tim-hortons,Drinks,Large Raspberry Frozen Lemonade,13.0,13.0,6.0
tim-hortons,Drinks,Small Strawberry Banana Smoothie with Greek Yogurt,7.0,7.0,4.0
tim-hortons,Drinks,Medium Strawberry Banana Smoothie with Greek Yogurt,11.0,11.0,6.0
tim-hortons,Drinks,Large Strawberry Banana Smoothie with Greek Yogurt,14.0,14.0,7.0
tim-hortons,Drinks,Small Tropical Fruit Smoothie with Greek Yogurt,8.0,8.0,4.0
tim-hortons,Drinks,Medium Tropical Fruit Smoothie with Greek Yogurt,12.0,12.0,6.0
tim-hortons,Drinks,Large Tropical Fruit Smoothie with Greek Yogurt,15.0,15.0,8.0
tim-hortons,Drinks,Small Tropical Real Fruit Chill,8.0,8.0,4.0
tim-hortons,Drinks,Medium Tropical Real Fruit Chill,12.0,12.0,5.0
tim-hortons,Drinks,Large Tropical Real Fruit Chill,15.0,15.0,7.0
tim-hortons,Sandwiches and Wraps,Bacon Grilled Cheese Melt,20.0,20.0,16.0
tim-hortons,Sandwiches and Wraps,BLT Sandwich,12.0,12.0,11.0
tim-hortons,Sandwiches and Wraps,Chicken Bacon Ranch Wrap,12.0,13.0,11.0
tim-hortons,Sandwiches and Wraps,Chicken Ranch Wrap Snacker,4.0,5.0,4.0
tim-hortons,Sandwiches and Wraps,Chicken Salad Wrap,8.0,10.0,9.0
tim-hortons,Sandwiches and Wraps,Chicken Salad Wrap Snacker,4.0,5.0,5.0
tim-hortons,Sandwiches and Wraps,Chicken Strips,7.0,8.0,9.0
tim-hortons,Sandwiches and Wraps,Chipotle Cheddar Chicken Wrap,11.0,13.0,11.0
tim-hortons,Sandwiches and Wraps,Chipotle Chicken Wrap Snacker,4.0,5.0,5.0
tim-hortons,Sandwiches and Wraps,Grilled Cheese Melt,16.0,16.0,13.0
tim-hortons,Sandwiches and Wraps,Ham & Cheddar Sandwich,14.0,14.0,12.0
tim-hortons,Sandwiches and Wraps,Ham & Cheddar Wrap,12.0,12.0,10.0
tim-hortons,Sandwiches and Wraps,Turkey Bacon Club Wrap,12.0,12.0,11.0
tim-hortons,Sandwiches and Wraps,Turkey Melt,15.0,15.0,13.0
tim-hortons,Sides,Caesar Salad w/ dressing,11.0,11.0,9.0
tim-hortons,Sides,Garden Salad w/ dressing,5.0,5.0,4.0
tim-hortons,Sides,Poutine Poutine,17.0,17.0,13.0
tim-hortons,Sides,Savoury Potato Wedges,8.0,8.0,7.0
tim-hortons,Sides,White Bun,8.0,8.0,7.0
tim-hortons,Sides,Whole Wheat Bun,8.0,8.0,7.0
tim-hortons,Soups,Chicken Noodle Soup,3.0,4.0,3.0
tim-hortons,Soups,Chili,10.0,10.0,8.0
tim-hortons,Soups,Cream of Broccoli Soup,5.0,5.0,4.0
tim-hortons,Soups,East Coast Clam Chowder,6.0,6.0,5.0
tim-hortons,Soups,Harvest Vegetable Soup,2.0,2.0,2.0
tim-hortons,Soups,Hearty Potato Bacon Soup,9.0,9.0,6.0
tim-hortons,Soups,Regular Spicy Thai Chicken Soup,7.0,8.0,6.0
tim-hortons,Soups,Large Spicy Thai Chicken Soup,11.0,11.0,8.0
tim-hortons,Timbits,Apple Fritter Timbits,2.0,2.0,1.0
tim-hortons,Timbits,Birthday Cake Timbits,4.0,4.0,2.0
tim-hortons,Timbits,Chocolate Glazed Timbits,4.0,4.0,2.0
tim-hortons,Timbits,Chocolate Snow Ball Timbits,3.0,3.0,2.0
tim-hortons,Timbits,Chocolate Toasted Coconut Timbits,3.0,3.0,2.0
tim-hortons,Timbits,Honey Cruller Timbits,3.0,3.0,2.0
tim-hortons,Timbits,Honey Dip Timbits,2.0,2.0,1.0
tim-hortons,Timbits,Old Fashion Glazed Timbits,4.0,4.0,2.0
tim-hortons,Timbits,Old Fashion Plain Timbits,2.0,2.0,2.0
tim-hortons,Timbits,Old Fashion Sugar Timbits,2.0,2.0,2.0
tim-hortons,Timbits,Raspberry Filled Timbits,2.0,2.0,1.0
tim-hortons,Timbits,Snow Ball Timbits,2.0,2.0,2.0
tim-hortons,Timbits,Sour Cream Glazed Timbits,4.0,4.0,2.0
tim-hortons,Timbits,Sour Cream Plain Timbits,3.0,3.0,2.0
tim-hortons,Timbits,Strawberry Filled Timbits,2.0,2.0,1.0
tim-hortons,Timbits,Birthday Cake Waffle Timbiebs,3.0,3.0,2.0
tim-hortons,Timbits,Chocolate White Fudge Timbiebs,4.0,4.0,3.0
tim-hortons,Timbits,Sour Cream Chocolate Chip Timbiebs,5.0,5.0,3.0
tim-hortons,Timbits,Venetian Cream Filled Timbits,2.0,2.0,1.0
tim-hortons,Toppings and Spreads,Butter,3.0,3.0,2.0
tim-hortons,Toppings and Spreads,Light Plain Cream Cheese,4.0,4.0,3.0
tim-hortons,Toppings and Spreads,Plain Cream Cheese,6.0,6.0,3.0
tim-hortons,Toppings and Spreads,Light Strawberry Cream Cheese,6.0,6.0,4.0
tim-hortons,Toppings and Spreads,Herb and Garlic Cream Cheese,7.0,7.0,4.0
tim-hortons,Toppings and Spreads,Margarine,2.0,2.0,2.0
tim-hortons,Toppings and Spreads,Peanut Butter,3.0,3.0,3.0
tim-hortons,Toppings and Spreads,Strawberry Jam,3.0,3.0,2.0
